,name,score,process_url
0,AMD Ryzen 9 5900HX,24001,https://www.solotodo.cl/notebooks?processors=1326895
1,AMD Ryzen 9 5900HS,23101,https://www.solotodo.cl/notebooks?processors=1379811
2,AMD Ryzen 9 5980HS,23007,https://www.solotodo.cl/notebooks?processors=1411376
3,AMD Ryzen 7 5800HS,22083,https://www.solotodo.cl/notebooks?processors=1366130
4,AMD Ryzen 7 5800H,22014,https://www.solotodo.cl/notebooks?processors=1376844
5,Intel Core i7-11800H,20633,https://www.solotodo.cl/notebooks?processors=1411020
6,AMD Ryzen 9 4900H,19772,https://www.solotodo.cl/notebooks?processors=1202557
7,AMD Ryzen 9 4900HS,19756,https://www.solotodo.cl/notebooks?processors=1209580
8,Intel Core i7-10700K,19538,https://www.solotodo.cl/notebooks?processors=1356376
9,AMD Ryzen 7 4800H,19411,https://www.solotodo.cl/notebooks?processors=1186906
10,Intel Core i9-9900K,18872,https://www.solotodo.cl/notebooks?processors=970299
11,AMD Ryzen 7 4800HS,18864,https://www.solotodo.cl/notebooks?processors=1207748
12,Intel Core i7-10700,17505,https://www.solotodo.cl/notebooks?processors=1228120
13,Intel Core i9-10980HK,17288,https://www.solotodo.cl/notebooks?processors=1193996
14,Intel Core i7-10870H,16273,https://www.solotodo.cl/notebooks?processors=1279833
15,AMD Ryzen 7 5700U,16258,https://www.solotodo.cl/notebooks?processors=1403302
16,Intel Core i9-10885H,16103,https://www.solotodo.cl/notebooks?processors=1300002
17,AMD Ryzen 5 5600U,16053,https://www.solotodo.cl/notebooks?processors=1412546
18,Intel Core i7-10875H,15908,https://www.solotodo.cl/notebooks?processors=1188382
19,AMD Ryzen 7 PRO 4750U,15773,https://www.solotodo.cl/notebooks?processors=1211318
20,Intel Xeon E-2286M,15502,https://www.solotodo.cl/notebooks?processors=997893
21,Intel Core i9-9980HK,15349,https://www.solotodo.cl/notebooks?processors=934276
22,AMD Ryzen 5 4600H,15034,https://www.solotodo.cl/notebooks?processors=1203363
23,Intel Core i7-9700K,14609,https://www.solotodo.cl/notebooks?processors=1074247
24,Intel Core i9-9880HK,14141,https://www.solotodo.cl/notebooks?processors=1204774
25,Intel Core i9-9880H,14141,https://www.solotodo.cl/notebooks?processors=935366
26,Intel Xeon E-2186M,14011,https://www.solotodo.cl/notebooks?processors=876140
27,Intel Xeon E-2176M,14011,https://www.solotodo.cl/notebooks?processors=854507
28,AMD Ryzen 7 4700U,13844,https://www.solotodo.cl/notebooks?processors=1224071
29,AMD Ryzen 7 1700,13762,https://www.solotodo.cl/notebooks?processors=697499
30,Intel Core i7-11375H,13548,https://www.solotodo.cl/notebooks?processors=1381108
31,Intel Core i7-11370H,13150,https://www.solotodo.cl/notebooks?processors=1358905
32,Intel Core i7-10850H,13119,https://www.solotodo.cl/notebooks?processors=1217127
33,AMD Ryzen 5 PRO 4650U,13103,https://www.solotodo.cl/notebooks?processors=1234694
34,Intel Core i7-10750H,12741,https://www.solotodo.cl/notebooks?processors=1168823
35,AMD Ryzen 5 1600,12444,https://www.solotodo.cl/notebooks?processors=697546
36,Intel Xeon E-2276M,12330,https://www.solotodo.cl/notebooks?processors=1071780
37,Intel Core i5-10500H,12254,https://www.solotodo.cl/notebooks?processors=1369095
38,Intel Core i7-9750HF,11788,https://www.solotodo.cl/notebooks?processors=1111589
39,Intel Core i7-1165G7,11752,https://www.solotodo.cl/notebooks?processors=1259058
40,Intel Core i7-9850H,11627,https://www.solotodo.cl/notebooks?processors=1150191
41,Intel Core i7-1185G7,11411,https://www.solotodo.cl/notebooks?processors=1297461
42,Intel Core i7-9750H,11404,https://www.solotodo.cl/notebooks?processors=935404
43,AMD Ryzen 5 4500U,11236,https://www.solotodo.cl/notebooks?processors=1203806
44,Intel Core i5-11300H,11209,https://www.solotodo.cl/notebooks?processors=1412836
45,Intel Core i7-1160G7,10981,https://www.solotodo.cl/notebooks?processors=1411500
46,Intel Core i9-8950HK,10711,https://www.solotodo.cl/notebooks?processors=788525
47,Intel Core i7-8850H,10522,https://www.solotodo.cl/notebooks?processors=808240
48,Intel Core i7-7820HK,10311,https://www.solotodo.cl/notebooks?processors=621962
49,Intel Core i7-4980HQ,10291,https://www.solotodo.cl/notebooks?processors=126346
50,Intel Core i7-8750H,10205,https://www.solotodo.cl/notebooks?processors=735986
51,AMD Ryzen 3 5300U,10157,https://www.solotodo.cl/notebooks?processors=1411926
52,AMD Ryzen 3 PRO 4450U,10097,https://www.solotodo.cl/notebooks?processors=1336890
53,Intel Core i7-10710U,9969,https://www.solotodo.cl/notebooks?processors=1044417
54,Intel Core i5-1038NG7,9907,https://www.solotodo.cl/notebooks?processors=1192254
55,Intel Core i7-4910MQ,9787,https://www.solotodo.cl/notebooks?processors=126304
56,Intel Core i7-7820HQ,9558,https://www.solotodo.cl/notebooks?processors=618292
57,Intel Core i7-4870HQ,9549,https://www.solotodo.cl/notebooks?processors=126250
58,Intel Core i7-3920XM,9418,https://www.solotodo.cl/notebooks?processors=125697
59,Intel Core i7-4900MQ,9323,https://www.solotodo.cl/notebooks?processors=126281
60,Intel Core i7-10810U,9314,https://www.solotodo.cl/notebooks?processors=1225846
