id,name,processor name,score,price,today,diff price,diff percent,ram,screen,graphic card,hard drive,url,21/10/21,25/10/21,26/10/21,28/10/21,29/10/21,02/11/21,03/11/21,05/11/21,06/11/21,07/11/21,08/11/21,10/11/21,11/11/21,12/11/21,15/11/21,16/11/21,17/11/21,19/11/21,20/11/21,22/11/21,23/11/21,24/11/21,25/11/21,26/11/21,28/11/21,29/11/21,30/11/21,01/12/21,02/12/21,03/12/21,05/12/21,06/12/21,07/12/21,08/12/21,09/12/21,10/12/21,11/12/21,12/12/21
108689,Lenovo Legion 7 16ACHg6 [82N6007LCL],AMD Ryzen 9 5900HX,24001,2423626,2279990,-143636,6,32 GB DDR4 (3200 MHz),"LED 16.0"" (2560x1600) / 165 Hz","AMD Radeon RX Vega 8 (Integrada)
NVIDIA GeForce RTX 3080 (16 GB)",SSD 1TB,https://www.solotodo.cl/products/108689-lenovo-legion-7-16achg6-82n6007lcl,,,,,,2799990,2799990,2799990,2799990,2799990,2799990,2799990,2429990,2429990,2429990,2429990,2429990,2429990,2429990,2429990,2429990,2429990,2199990,2199990,2279990,2279990,2199990,2279990,2199990,2199990,2279990,2279990,2279990,2279990,2279990,2279990,2279990,2279990
117042,ASUS ROG STRIX G17 G713QR-K4031T [90NR05J2-M00600],AMD Ryzen 9 5900HX,24001,2230990,,,,16 GB DDR4 (3200 MHz),"LED 17.3"" (2560x1440) / 165 Hz","AMD Radeon RX Vega 8 (Integrada)
NVIDIA GeForce RTX 3070 (8 GB)",SSD 1TB,https://www.solotodo.cl/products/117042-asus-rog-strix-g17-g713qr-k4031t-90nr05j2-m00600,,,,,,2230990,2230990,2230990,2230990,2230990,2230990,,,,,,,,,,,,,,,,,,,,,,,,,,,
124285,ASUS ROG Strix SCAR 15 G533QS-DS96 [90NR0551-M04360],AMD Ryzen 9 5900HX,24001,2749990,,,,16 GB DDR4 (3200 MHz),"LED 15.6"" (1920x1080) / 300 Hz","AMD Radeon RX Vega 8 (Integrada)
NVIDIA GeForce RTX 3080 (8 GB)",SSD 1TB,https://www.solotodo.cl/products/124285-asus-rog-strix-scar-15-g533qs-ds96-90nr0551-m04360,,,,,,,,2749990,2749990,2749990,2749990,2749990,2749990,2749990,2749990,2749990,,,,,,,,,,,,,,,,,,,,,,
125087,ASUS ROG Strix G513QM-EB94 [90NR0572-M07620],AMD Ryzen 9 5900HX,24001,1789990,,,,16 GB DDR4 (3200 MHz),"LED 15.6"" (1920x1080) / 300 Hz","AMD Radeon RX Vega 8 (Integrada)
NVIDIA GeForce RTX 3060 (6 GB)",SSD 512GB,https://www.solotodo.cl/products/125087-asus-rog-strix-g513qm-eb94-90nr0572-m07620,,,,,,,,,,,,,,1789990,1789990,1789990,1789990,,,,,,,,,,,,,,,,,,,,,
122313,ASUS ROG Strix G15 G513QY-HF014T,AMD Ryzen 9 5900HX,24001,1909990,1799990,-110000,6,16 GB DDR4 (3200 MHz),"LED 15.6"" (1920x1080) / 300 Hz","AMD Radeon RX Vega 8 (Integrada)
AMD Radeon RX 6800M (12 GB)",SSD 1TB,https://www.solotodo.cl/products/122313-asus-rog-strix-g15-g513qy-hf014t,2099990,1949990,1949990,1949990,1949990,1949990,1949990,1949990,1949990,1949990,1949990,1949990,1949990,1949990,1949990,1949990,1949990,1949990,1989990,1989990,1989990,1989990,1989990,1989990,1989990,1799990,1799990,1799990,1799990,1799990,1799990,1799990,1799990,1799990,1799990,1799990,1799990,1799990
98980,ASUS ROG Zephyrus Duo SE GX551QS-HB157T [90NR04N1-M03550],AMD Ryzen 9 5900HX,24001,3703148,3879990,176842,-5,32 GB DDR4 (3200 MHz),"LED 15.6"" (3840x2160) / 120 Hz","AMD Radeon RX Vega 8 (Integrada)
NVIDIA GeForce RTX 3080 (16 GB)",SSD 2TB,https://www.solotodo.cl/products/98980-asus-rog-zephyrus-duo-se-gx551qs-hb157t-90nr04n1-m03550,3879990,3879990,3879990,3879990,3879990,3879990,3879990,3879990,3879990,3879990,3879990,3599990,3599990,3599990,3599990,3599990,3599990,3599990,3599990,3599990,3599990,3599990,3599990,3599990,3599990,3599990,3599990,3599990,3879990,3879990,3599990,3599990,3599990,3599990,3599990,3599990,3599990,3879990
116640,ASUS ROG Strix SCAR G733QS-K4083T [G733QS-K4083T],AMD Ryzen 9 5900HX,24001,3077402,3009990,-67412,2,32 GB DDR4 (3200 MHz),"LED 17.3"" (2560x1440) / 165 Hz","AMD Radeon RX Vega 8 (Integrada)
NVIDIA GeForce RTX 3080 (16 GB)",SSD 2TB,https://www.solotodo.cl/products/116640-asus-rog-strix-scar-g733qs-k4083t-g733qs-k4083t,,,,,,,,,,,,,,,,,,,,,,3200990,3200990,3200990,3200990,3200990,3200990,3009990,3009990,3009990,3009990,3009990,3009990,3009990,3009990,3009990,3009990,3009990
110916,ASUS ROG Strix G15 G513QR-HF195T [90NR0562-M04900],AMD Ryzen 9 5900HX,24001,2048561,,,,16 GB DDR4 (3200 MHz),"LED 15.6"" (1920x1080) / 300 Hz","AMD Radeon RX Vega 8 (Integrada)
NVIDIA GeForce RTX 3070 (8 GB)",SSD 1TB,https://www.solotodo.cl/products/110916-asus-rog-strix-g15-g513qr-hf195t-90nr0562-m04900,2099990,2099990,2099990,2099990,2099990,2099990,2099990,2099990,2099990,2099990,2099990,2099990,2099990,2099990,2099990,2099990,2099990,1999990,1999990,1999990,1999990,1999990,1999990,1999990,1999990,1999990,1999990,1999990,1999990,1999990,1999990,1999990,1999990,1999990,1999990,,,
118699,ASUS ROG Strix G713QM-ES94,AMD Ryzen 9 5900HX,24001,1785714,1690000,-95714,5,16 GB DDR4 (3200 MHz),"LED 17.3"" (1920x1080) / 144 Hz","AMD Radeon RX Vega 8 (Integrada)
NVIDIA GeForce RTX 3060 (6 GB)",SSD 512GB,https://www.solotodo.cl/products/118699-asus-rog-strix-g713qm-es94,,1850000,1850000,1850000,1850000,,,,,,,,,,,,,,,,,,,,,,,,1790000,1790000,1790000,1790000,1790000,1790000,1790000,1690000,1690000,1690000
107099,ASUS ROG Strix G513QM-HF276T,AMD Ryzen 9 5900HX,24001,1420516,1449990,29474,-2,16 GB DDR4 (3200 MHz),"LED 15.6"" (1920x1080) / 300 Hz","AMD Radeon RX Vega 8 (Integrada)
NVIDIA GeForce RTX 3060 (6 GB)",SSD 512GB,https://www.solotodo.cl/products/107099-asus-rog-strix-g513qm-hf276t,1499990,1499990,1499990,1489990,1399990,1399990,1399990,1389990,1399990,1399990,1399990,1399990,1399990,1399990,1399990,1399990,1399990,1399990,1399990,1399990,1399990,1399990,1399990,1399990,1399990,1399990,1399990,1399990,1399990,1399990,1449990,1449990,1449990,1449990,1449990,1449990,1449990,1449990
